id,city,description,lat,lon,dat,cases
120,Pune,"Three more die of dengue, toll touches 48 in Pune",18.521428,73.8544541,2019/11/26,48
121,Pune,Pune: 20 dengue deaths since July at Sassoon hospital,18.521428,73.8544541,2019/11/18,20
122,Pune,Pune hospital confirms 5 more dengue deaths in October,18.521428,73.8544541,2019/11/05,5
124,Pune,Pune: Dengue confines many to bed during festive season,18.521428,73.8544541,2019/10/31,0
125,Pune,Pune: Bibvewadi woman seventh dengue victim this year,18.521428,73.8544541,2019/11/01,0
126,Pune,Dengue claims first life in Pune this year,18.521428,73.8544541,2019/09/23,0
127,Pune,Pune: Six wards register 81% of confirmed dengue cases,18.521428,73.8544541,2019/12/07,0
128,Pune,Over 100 dengue cases in Pune in just 3 days,18.521428,73.8544541,2019/12/05,100
129,Pune,"Cases of dengue, chikungunya begin to stack up in Pune",18.521428,73.8544541,2019/07/10,0
130,Delhi ,Nine cases of dengue reported in Delhi this year till May 11,28.6517178,77.2219388,2019/05/14,9
131,Delhi ,Delhi registers 202 malaria cases this year with 48 in 1st week of September,28.6517178,77.2219388,2019/09/10,0
132,Delhi ,24X7 South Delhi Municipal Corporation helpline for dengue fight,28.6517178,77.2219388,2019/09/27,0
133,Delhi ,"Delhi: Dengue cases rise to 4,704 as year nears end",28.6517178,77.2219388,2018/12/17,4704
134,Delhi ,2 dengue deaths in Delhi this year,28.6517178,77.2219388,2020/01/07,2
135,Delhi ,"Delhi: Fate of 3,500 men who keep dengue away uncertain",28.6517178,77.2219388,2020/02/22,3500
136,Delhi ,Number of dengue cases in Delhi spikes in week after Diwali,28.6517178,77.2219388,2019/11/06,0
137,Delhi ,"Dengue cases on decline in Delhi, says Arvind Kejriwal",28.6517178,77.2219388,2019/09/16,0
138,Delhi ,"Delhi: As corporations battle Covid-19, dengue rears its ugly head",28.6517178,77.2219388,2020/04/11,0
139,Delhi ,830 dengue cases in Delhi so far this year; 189 last week,28.6517178,77.2219388,2019/10/29,830
140,Delhi ,Six dengue cases reported in Delhi this year: Municipal report,28.6517178,77.2219388,2019/04/01,5
141,Chennai,Health minister Ma Subramanian inspects dengue control measures as cases rise in Chennai,13.0836939,80.270186,2021/10/05,0
142,Lucknow,Six localities hub of dengue in Lucknow,26.8381,80.9346001,2021/10/07,6
143,Visakhapatnam,"No let-up in malaria, dengue cases in Visakhapatnam",17.7231276,83.3012842,2021/10/06,0
215,Ahmedabad ,Mosquito breeding: 6 properties sealed in Ahmedabad,23.0216238,72.5797068,2019/09/25,6
217,Ahmedabad ,359 new dengue cases in last 11 days in Ahmedabad,23.0216238,72.5797068,2019/10/15,359
218,Ahmedabad ,Ahmedabad: Dengue kills 17-year-old medical student,23.0216238,72.5797068,2019/10/08,1
219,Ahmedabad ,Ahmedabad: 42% of dengue patients are children,23.0216238,72.5797068,2019/12/03,3
220,Ahmedabad ,Deadly bite: Three-fold rise in dengue deaths in Ahmedabad this year,23.0216238,72.5797068,2019/12/18,3
232,Ahmedabad ,Five dengue deaths in past month in Ahmedabad,23.0216238,72.5797068,2019/09/24,5
233,Ahmedabad ,Typhoid cases on the rise in Ahmedabad,23.0216238,72.5797068,2019/08/13,0
234,Ahmedabad ,Ahmedabad witnessed 45 per cent spike in dengue cases in 2019,23.0216238,72.5797068,2020/01/07,0
235,Ahmedabad ,"Ahmedabad: In 16 days, dengue cases hit 156% of last November total",23.0216238,72.5797068,2019/11/19,0
236,Ahmedabad ,546 dengue cases in Ahmedabad in 19 days of October,23.0216238,72.5797068,2019/10/22,546
238,Ahmedabad ,"Ahmedabad: Swine flu cases doubled, dengue spiked in 2019",23.0216238,72.5797068,2019/12/11,0
239,Ahmedabad ,Ahmedabad: Dengue cases shot up 139% in November,23.0216238,72.5797068,2019/12/03,0
241,Ahmedabad ,Are dengue cases falling in Ahmedabad?,23.0216238,72.5797068,2019/08/27,0
242,Secunderabad,"Spurt in dengue and typhoid cases in Secunderabad Cantonment, daily count exceeds 400 in area hospital",17.4337246,78.5006827,2019/08/26,400
244,Lucknow,"Dengue sting fails to spur Lucknow Municipal Corporation into action, cases soar",26.8381,80.9346001,2021/10/08,0
249,Bengaluru,"Bengaluru sees nearly 3,000 dengue cases; Hoysalanagar worst hit",12.9791198,77.5912997,2019/07/21,3000
250,Bengaluru,29 dengue cases in 9 days in Bengaluru,12.9791198,77.5912997,2019/05/14,29
251,Bengaluru,47 dengue cases in one locality in Bengaluru,12.9791198,77.5912997,2019/06/17,47
252,Bengaluru,5-month-old Mandya boy dies of suspected dengue in Bengaluru,12.9791198,77.5912997,2019/07/21,0
253,Bengaluru,"Bengaluru: Good Samaritans walk into hospitals, donate platelets",12.9791198,77.5912997,2019/07/23,0
256,Bengaluru,"Bengaluru dengue cases: Papaya leaf helps, but is no miracle cure, say experts",12.9791198,77.5912997,2019/07/30,0
257,Bengaluru,"Bengaluru: Sole test downplays dengue, cases double of govt claim, say doctors",12.9791198,77.5912997,2019/07/30,0
258,Bengaluru,"Bengaluru sees 24-hour highest of 138 cases, 7 deaths",12.9791198,77.5912997,2020/06/20,138
263,Aurangabad,Aurangabad: 64 suspected cases of dengue reported in August,19.877263,75.3390241,2019/08/31,64
264,Aurangabad,Aurangabad health department intensifies drive against dengue as girl dies,19.877263,75.3390241,2019/09/29,0
265,Jalandhar,Jalandhar: Anti-larva teams detect 43 dengue larva cases in 10 places,31.3323762,75.576889,2019/08/06,43
266,Chennai,"Battalion of 3,000 to fight dengue, each to cover 500 homes per week in Chennai",13.0801721,80.2838331,2019/10/16,3000
267,Chennai,515 dengue cases in Chennai: Civic body,13.0801721,80.2838331,2018/12/19,515
268,Chennai,"Five, including three working in Chennai, at Kumbakonam hospital",13.0801721,80.2838331,2019/09/25,5
269,Chennai,Greater Chennai Corporation to do focused fogging to kill dengue,13.0801721,80.2838331,2019/09/25,0
270,Chennai,"Realtors refuse to pay dengue penalty, clean breeding spots: Greater Chennai Corporation",13.0801721,80.2838331,2019/10/25,0
273,Nagpur,"Nagpur: 7 dengue cases in August, 22 since January",21.1498134,79.0820556,2019/08/20,7
274,Nagpur,Nagpur registers highest-ever dengue positive cases in 2019,21.1498134,79.0820556,2020/01/08,0
275,Uttarakhand,"Dengue cases cross 2,000 in Uttarakhand, max figures from Dehradun, Nainital",30.09199355,79.32176659,2019/09/17,2000
276,Uttarakhand,Uttarakhand: 34-year-old man succumbs to dengue in Udham Singh Nagar,30.09199355,79.32176659,2019/11/03,0
277,Uttarakhand,"Despite mercury dip, dengue cases continue to rise in Uttarakhand",30.09199355,79.32176659,2019/11/13,0
279,Uttarakhand,"Uttarakhand battles worst dengue outbreak in years, over 8k cases reported",30.09199355,79.32176659,2019/10/25,8000
282,Kanpur,13 more have dengue; virus tightens grip on Kanpur Road,26.4609135,80.3217588,2019/09/21,13
284,Rajasthan,"Dengue death toll in Rajasthan rises to 12, 3,860 test positive in 12 days",26.8105777,73.7684549,2019/11/18,3860
286,Rajasthan,"Dengue cases with marks of cold, cough increasing in Rajasthan",26.8105777,73.7684549,2019/11/19,0
287,Vellore,7-year-old boy dies of dengue in Vellore,12.9071753,79.1309695,2019/10/31,0
288,Jaipur,608 test positive for dengue in Jaipur in past 17 days,26.916194,75.820349,2019/11/03,608
289,Jaipur,"Jaipur: From 535 to 1,084, dengue cases double in just 20 days",26.916194,75.820349,2019/10/21,1084
290,Bihar,"Dengue count increases to 3,950 in Bihar",25.6440845,85.906508,2019/10/29,3950
291,Bihar,Bihar: Former MLA gets life term in rape case after 25 years,25.6440845,85.906508,2020/01/31,0
292,Goa,Goa CM: Step up dengue awareness,15.3004543,74.0855134,2019/09/27,0
293,Goa,"With 726 dengue cases, Goa sees three-fold rise in 2019",15.3004543,74.0855134,2020/01/20,726
296,Lucknow,22 more dengue cases reported in Lucknow,26.8381,80.9346001,2021/10/10,22
298,Maharashtra,"Maharashtra forms panel to assist doctors in handling dengue, swine flu cases",19.531932,76.0554568,2020/05/21,0
299,Maharashtra,"With six deaths & 4,272 cases, dengue hits rural Maharashtra hard",19.531932,76.0554568,2019/11/12,4272
300,Maharashtra,"Maharashtra: Number of dengue cases may drop this year, say doctors",19.531932,76.0554568,2019/07/27,0
301,Maharashtra,"Maharashtra sees 3,752 cases, highest in a day since Covid-19 struck",19.531932,76.0554568,2020/06/19,3752
304,Coimbatore,Coimbatore: Pharmacists told not to sell drugs without prescription,11.0018115,76.9628425,2019/10/04,0
305,Chandigarh,"Dengue cases may go up in Chandigarh if humidity persists, say experts",30.7194022,76.7646552,2019/08/28,0
306,Surat,Sudden spurt in dengue cases in Surat,21.1864607,72.8081281,2019/10/16,0
308,Bhopal,Rain may trigger spurt in dengue cases in Bhopal,23.2584857,77.401989,2021/10/18,0
309,Delhi,"Dengue in Firozabad: Chemists run out of intravenous fluids; attendants rush to Delhi to get saline bags, return empty-handed",28.6517178,77.2219388,2021/10/18,0
312,Agra,"350 dengue cases confirmed in Agra dist, highest in 10 years",27.1752554,78.0098161,2021/10/20,350
313,Delhi,"AAP, BJP spar over rise in dengue cases in Delhi",28.6517178,77.2219388,2021/10/19,0
314,Delhi,Delhi feels sting with first dengue death,28.6517178,77.2219388,2021/10/19,0
315,Delhi,Locals worried about dengue outbreak in Delhi,28.6517178,77.2219388,2021/10/18,0
316,Delhi,First death reported in Delhi due to dengue this year: Civic body,28.6517178,77.2219388,2021/10/18,5
324,Rajasthan,"With 8 deaths and over 4.7k cases in 28 days, dengue threat for Rajasthan",26.8105777,73.7684549,2021/10/20,4700
331,Lucknow,"In new high, 29 dengue cases in Lucknow",26.8381,80.9346001,2021/10/22,29
332,Delhi,"As dengue cases rise, Delhi govt reduces Covid-19 beds in private hospitals",28.6517178,77.2219388,2021/10/22,0
341,Jaipur,"aipur reports 70 dengue cases in 24 hours, count crosses 550 in 16 days",26.9154576,75.8189817,2021/10/24,550
342,Lucknow,Demand for platelets up 75% with rising dengue cases in Lucknow,26.8381,80.9346001,2021/10/24,0
343,Nashik,Drop in dengue cases in Nashik,20.0112475,73.7902364,2021/10/23,0
347,Delhi,"Dengue cases in Delhi go past 1,000 with 665 in October alone",28.6517178,77.2219388,2021/10/26,665
360,Delhi,AAP to start mega fogging drive to fight dengue in Delhi,28.6517178,77.2219388,2021/10/27,0
364,Delhi,Hospitals under pressure as dengue cases soar in Delhi,28.6517178,77.2219388,2021/10/28,0
371,Chandigarh,October reports 770 of 854 dengue cases in Chandigarh,30.7334421,76.7797143,2021/11/01,770
372,Delhi,Hospitals may use beds reserved for Covid cases for dengue patients: Delhi govt,28.6517178,77.2219388,2021/10/30,0
373,Delhi,Panel confirms six deaths in Delhi due to dengue this season,28.6517178,77.2219388,2021/10/30,6
374,Maharashtra,Major rise in dengue cases in north Maharashtra,18.9068356,75.6741579,2021/11/03,16
375,Delhi,"As cases soar, EDMC spots 16 dengue red zones in Delhi",28.6517178,77.2219388,2021/11/03,0
377,Delhi,"Corporations say official dengue toll in Delhi now six, over 1,500 cases till October 30",28.6517178,77.2219388,2021/11/02,1500
378,Delhi,Dengue spread in Delhi poses a fresh big test,28.6517178,77.2219388,2021/11/02,0
